Order,Family,Genus,Species,Time,Disp.M,Disp.95,Mass,Diet,NDVI,HFI
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,4,0.199907252,0.742445573,52500,H,-0.507853717,6.412949471
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,4,0.236252161,0.797367083,52500,H,-0.622901793,6.524292358
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,4,0.150519668,0.720673585,52500,H,-0.220396891,6.088288307
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,4,0.134508811,0.666738143,52500,H,-0.128454179,5.401457906
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,4,0.191491862,0.770585953,52500,H,-0.309065804,10.24768225
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,4,0.216815267,0.759077849,52500,H,-0.282492089,6.793757363
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,4,0.170340801,0.779625574,52500,H,-0.158282296,5.538370385
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,4,0.206629233,0.760687281,52500,H,-0.516436994,9.90816916
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,4,0.153633649,0.694482646,52500,H,-0.278258239,7.698303442
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,4,0.193149241,0.821133058,52500,H,-0.102847035,6.243986659
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,4,0.124232151,0.693143562,52500,H,0.028230277,5.575914633
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,4,0.191121394,0.713707645,52500,H,-0.295740575,5.829209883
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,4,0.226355347,0.707979522,52500,H,-0.315279096,5.755475063
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,4,0.152753608,0.663456839,52500,H,0.019672586,10.01934947
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,4,0.207311956,0.686057589,52500,H,-0.225172917,6.027300969
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,4,0.201069958,0.758524492,52500,H,-0.375917099,6.655389013
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,4,0.200296606,0.854086472,52500,H,-0.184799571,8.359505044
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.310041667,1.279086087,52500,H,-0.120033258,9.386527846
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.332893909,0.850732161,52500,H,-0.316841212,8.61936309
Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,8,0.410927834,0.995282812,52500,H,-0.123733248,8.727542298
